timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756188492,"2025-08-26T06:08:12Z","l2sm","managed","l2sm-managed-1",0.05391450833062265,949497856
1756188492,"2025-08-26T06:08:12Z","l2sm","managed","l2sm-managed-2",0.05509121448850878,898685952
1756188492,"2025-08-26T06:08:12Z","submariner","control","sub-control",0.0027261223782281624,60379136
1756188492,"2025-08-26T06:08:12Z","submariner","managed","sub-managed-1",0.0573817252594423,379839829.3333333
1756188492,"2025-08-26T06:08:12Z","submariner","managed","sub-managed-2",0.05076216976639013,380314214.4
1756188924,"2025-08-26T06:15:24Z","l2sm","control","l2sm-control",0.022322587477433372,844250112
1756188924,"2025-08-26T06:15:24Z","submariner","control","sub-control",0.002293877366794286,60491776
1756189356,"2025-08-26T06:22:36Z","l2sm","control","l2sm-control",0.0267031038952017,848717824
1756189356,"2025-08-26T06:22:36Z","l2sm","managed","l2sm-managed-1",0.05458369088565684,949803008
1756189356,"2025-08-26T06:22:36Z","l2sm","managed","l2sm-managed-2",0.05379904226492594,898290688
1756189356,"2025-08-26T06:22:36Z","submariner","control","sub-control",0.002475199456799978,60353194.666666664
1756189356,"2025-08-26T06:22:36Z","submariner","managed","sub-managed-1",0.05877602517904769,379202560
1756189356,"2025-08-26T06:22:36Z","submariner","managed","sub-managed-2",0.05049573891974616,380937216
1756189788,"2025-08-26T06:29:48Z","l2sm","control","l2sm-control",0.02392648504520065,849034240
1756189788,"2025-08-26T06:29:48Z","submariner","control","sub-control",0.002448782490331252,60305408
1756190220,"2025-08-26T06:37:00Z","l2sm","control","l2sm-control",0.023368802936450356,848893952
1756190220,"2025-08-26T06:37:00Z","l2sm","managed","l2sm-managed-1",0.05404137071951944,950194176
1756190220,"2025-08-26T06:37:00Z","l2sm","managed","l2sm-managed-2",0.05554785957112033,898894848
1756190220,"2025-08-26T06:37:00Z","submariner","control","sub-control",0.002535982741001446,60407808
1756190220,"2025-08-26T06:37:00Z","submariner","managed","sub-managed-1",0.06178787410364774,380235776
1756190220,"2025-08-26T06:37:00Z","submariner","managed","sub-managed-2",0.0502807458813319,380503040
1756190652,"2025-08-26T06:44:12Z","l2sm","control","l2sm-control",0.02202978374753673,848808960
1756190652,"2025-08-26T06:44:12Z","submariner","control","sub-control",0.003093038474557132,60470272
1756191084,"2025-08-26T06:51:24Z","l2sm","control","l2sm-control",0.021574443685258817,848877568
1756191084,"2025-08-26T06:51:24Z","l2sm","managed","l2sm-managed-1",0.05429825564402426,950530048
1756191084,"2025-08-26T06:51:24Z","l2sm","managed","l2sm-managed-2",0.05375664678075191,897337344
1756191084,"2025-08-26T06:51:24Z","submariner","control","sub-control",0.002394354908586243,60491776
1756191084,"2025-08-26T06:51:24Z","submariner","managed","sub-managed-1",0.05773122324698366,379834572.8
1756191084,"2025-08-26T06:51:24Z","submariner","managed","sub-managed-2",0.0521694398907099,380170240
1756191516,"2025-08-26T06:58:36Z","l2sm","control","l2sm-control",0.02306478867312532,849039360
1756191516,"2025-08-26T06:58:36Z","submariner","control","sub-control",0.002542404950583241,60427264
1756191948,"2025-08-26T07:05:48Z","l2sm","control","l2sm-control",0.0220116215137936,849223680
1756191948,"2025-08-26T07:05:48Z","l2sm","managed","l2sm-managed-1",0.05570012986441286,950568960
1756191948,"2025-08-26T07:05:48Z","l2sm","managed","l2sm-managed-2",0.05695769192855039,899265536
1756191948,"2025-08-26T07:05:48Z","submariner","control","sub-control",0.0023272556011571742,60493824
